id	VL_TOTAL_INVESTIMENTO_T0	RESTRICAO_INTERNA	RISCO	DS_ESTADO_CIVIL	ESCOLARIDADE	TEM_PRE_APROV_CDC	TIPO_CLIENTE	IDADE	QTDE_PRODUTOS_12M	SG_UF	CD_SEXO	VL_TOTL_REND	PERFIL	ALVO
147	0	0	MEDIO	DIVORCIADO	SEM ESCOLARIDADE	0	ESPECIAL	54	6	SP	M	2074.08	TOMADOR	0
148	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	VIP	51	4	SP	H	2685.3	TOMADOR	0
149	2609.7	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	0	VIP	80	6	SP	H	14894.15	INVESTIDOR	0
150	127.5	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	63	5	SP	H	11256.86	INVESTIDOR	0
151	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	ESPECIAL	69	5	SP	H	3195.52	INVESTIDOR	0
152	37495.5	0	BAIXO	VIUVO	SUPERIOR	1	VIP	65	5	PI	M	5290.57	INVESTIDOR	0
153	24099.2	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	55	6	PI	H	9600	INVESTIDOR	0
154	0	0	BAIXO	VIUVO	SUPERIOR	1	VIP	60	9	SP	M	15793.68	TOMADOR	0
155	298.4	0	BAIXO	NÃO INFORMADO	NÃO INFORMADO	1	CLÁSSICO	55	6	SP	M	940.59	INVESTIDOR	0
156	14.3	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	47	5	SP	H	12074	INVESTIDOR	0
157	19.5	0	BAIXO	DIVORCIADO	NÃO INFORMADO	1	CLÁSSICO	57	8	SP	M	1049.1	TOMADOR	0
158	0	0	BAIXO	NÃO INFORMADO	SUPERIOR	1	VIP	65	3	SP	H	2388	INVESTIDOR	0
159	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	1	VIP	64	7	RJ	H	7778.94	TOMADOR	0
160	242464.9	0	BAIXO	VIUVO	POS GRADUACAO	0	VIP	62	11	RJ	M	9202.41	INVESTIDOR	0
161	0	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	54	5	RJ	H	7403.71	INVESTIDOR	0
162	0	0	BAIXO	NÃO INFORMADO	ENSINO MEDIO	0	ESPECIAL	54	1	PA	H	0	INVESTIDOR	0
163	0	0	BAIXO	DIVORCIADO	SUPERIOR	0	VIP	63	10	SP	M	200	TOMADOR	0
164	0	0	BAIXO	SOLTEIRO	ENSINO FUNDAMENTAL	1	ESPECIAL	58	2	SP	H	1290	TOMADOR	0
165	0	1	MEDIO	SOLTEIRO	ENSINO MEDIO	0	ESPECIAL	44	1	SC	M	655.86	INVESTIDOR	0
166	121649	0	BAIXO	VIUVO	ENSINO MEDIO	0	VIP	89	5	  	M	641	INVESTIDOR	0
167	0	0	ALTO	DIVORCIADO	NÃO INFORMADO	0	CLÁSSICO	76	3	SP	H	1011.77	TOMADOR	0
168	8.8	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	VIP	71	3	SP	H	4754.08	INVESTIDOR	0
169	0	1	ALTO	SOLTEIRO	ENSINO MEDIO	0	CLÁSSICO	45	3	SP	M	0	TOMADOR	0
170	169.2	0	BAIXO	SOLTEIRO	NÃO INFORMADO	1	ESPECIAL	58	10	SP	M	2669.12	TOMADOR	0
171	245.9	0	BAIXO	DIVORCIADO	ENSINO FUNDAMENTAL	1	ESPECIAL	69	5	SP	H	2956.79	INVESTIDOR	0
172	114009.7	0	BAIXO	SOLTEIRO	SUPERIOR	1	VIP	48	10	SP	M	6358	INVESTIDOR	0
173	0.1	0	BAIXO	DIVORCIADO	ENSINO MEDIO	1	ESPECIAL	53	4	SP	M	3658	TOMADOR	0
